original_trip_id,origin_lat,origin_lon,dest_lat,dest_lon,bike_duration,bike_distance,walktransit_duration,walktransit_distance,n_segments_walktransit,modes_used_walktransit,multimodal_duration,multimodal_distance,n_segments_multimodal,modes_used_multimodal
7C633416CC274C17,42.3362444479688,-71.0879856348038,42.3350989929096,-71.0790377855301,9.4,1001,12,2238,3,WALK + BUS,9.4,1001,1,BICYCLE
7C747F50F5F76CB8,42.341527939,-71.123297453,42.349243769553,-71.0972820969255,22.6,3084,17.2,2746,3,WALK + TRAM,18.5,3030,3,BICYCLE + TRAM + WALK
7C8C2E40F08AD62E,42.363564989894,-71.1004418404809,42.36507,-71.1031,4.2,315,4.8,356,1,WALK,4.2,315,1,BICYCLE
7C9F302102160B29,42.2863319911278,-71.1534475536973,42.2926659287273,-71.1211953871407,24.6,3972,15,3597,2,WALK + BUS,14.4,3197,3,BICYCLE + BUS + WALK
7CAF70B30C1C9E07,42.336526394,-71.098931193,42.3375860109724,-71.0962709784508,3.8,377,4.3,297,1,WALK,3.8,377,1,BICYCLE
7D013BEE58215E39,42.36507,-71.1031,42.3598253979878,-71.0597957624486,35.1,4704,11.1,4224,3,WALK + SUBWAY + TRAM,18.7,4913,7,BICYCLE + BUS + WALK + SUBWAY + TRAM
7D09768A9C8DAA7E,42.345733,-71.100694,42.363564989894,-71.1004418404809,31.5,4054,23.4,3378,4,WALK + TRAM + BUS,20.3,3363,3,BICYCLE + BUS + WALK
7D74D63207F196B2,42.3581,-71.093198,42.3742671352493,-71.100264787674,20.6,2805,17,2531,5,WALK + BUS,20.6,2805,1,BICYCLE
7D8594F1FCB287E9,42.3495894236824,-71.0794677917329,42.4093539551816,-71.1490651872737,71.3,11990,44,12284,6,WALK + TRAM + SUBWAY + BUS,44.4,10310,7,BICYCLE + BUS + WALK + SUBWAY
7DA19B79B649A280,42.352175,-71.055547,42.40449,-71.123413,69.3,10066,39,10031,4,SUBWAY + WALK + BUS,44.5,10111,5,BICYCLE + SUBWAY + WALK + BUS
7DE5E5EB998D19B0,42.365188,-71.060788,42.3607929685827,-71.0711896233715,13.7,1450,14.3,2466,4,WALK + TRAM + SUBWAY,13.7,1450,1,BICYCLE
7DF8368E65111E43,42.3607929685827,-71.0711896233715,42.3659078844508,-71.0644666850567,10.4,1159,17.8,1042,1,WALK,10.4,1159,1,BICYCLE
7DFDA9CE8B49B8AD,42.291745782,-71.062708378,42.326599,-71.066498,39.2,5681,42.4,5216,3,WALK + BUS,35.6,5543,3,BICYCLE + BUS + WALK
